Activity Type,Date,Environment,Country,City,Title,Distance (km),Calories,Time,Avg HR,Max HR
Cycling,7/26/2014 6:33,Outdoor,USA,"Frisco, TX",STCC - CPS Ride,93.28,"3,080",3:43:21,158,196
Cycling,7/31/2014 18:29,Outdoor,USA,"Frisco, TX",30miles marathon challenge,44.82,"1,408",1:39:04,158,194
Cycling,8/2/2014 6:42,Outdoor,USA,"Frisco, TX",STCC 100k Challenge,99.39,"2,663",3:56:07,146,195
Cycling,8/3/2014 8:09,Outdoor,USA,"Frisco, TX",Untitled,25.26,543,1:20:42,112,137
Cycling,8/10/2014 8:30,Outdoor,USA,"Frisco, TX",Untitled,25.33,574,1:17:59,115,142
Cycling,8/13/2014 18:23,Outdoor,USA,"Frisco, TX",Untitled,26.85,801,1:06:36,144,175
Cycling,8/16/2014 6:42,Outdoor,USA,"Frisco, TX",Untitled,91.31,"2,781",3:41:51,150,189
Cycling,8/22/2014 5:31,Outdoor,USA,"Frisco, TX",Untitled,33.32,616,1:36:01,111,168
Cycling,8/23/2014 6:38,Outdoor,USA,"Frisco, TX",Untitled,72.79,"1,810",2:54:29,140,179
Cycling,8/24/2014 7:38,Outdoor,USA,"Frisco, TX",Untitled,27.15,474,1:28:22,102,136
Cycling,8/28/2014 17:38,Outdoor,USA,"Frisco, TX",Untitled,74.53,"2,347",2:46:44,160,191
Cycling,8/29/2014 5:34,Outdoor,USA,"Frisco, TX",Untitled,22.99,562,1:10:41,123,154
Cycling,8/30/2014 6:44,Outdoor,USA,"Frisco, TX",Untitled,71.64,"1,750",2:48:08,142,200
Cycling,9/1/2014 7:42,Outdoor,USA,"Frisco, TX",Untitled,37.59,632,2:06:54,101,136
Cycling,9/5/2014 5:58,Outdoor,USA,"Frisco, TX",Untitled,26.82,830,0:58:15,153,177
Cycling,9/6/2014 6:26,Outdoor,USA,"Frisco, TX",Untitled,75.43,"2,058",2:53:29,147,181
Cycling,9/9/2014 18:30,Outdoor,USA,"Frisco, TX",Untitled,50.61,"1,390",1:52:59,152,187
Cycling,9/23/2014 19:20,Outdoor,USA,"Frisco, TX",Untitled,26.85,822,0:56:13,154,183
Cycling,9/25/2014 6:51,Outdoor,USA,"Palo Alto, CA",Untitled,29.9,848,1:06:36,146,173
Cycling,9/25/2014 18:37,Outdoor,USA,"Palo Alto, CA",Untitled,51.56,"1,283",1:43:14,150,185
Cycling,9/26/2014 17:49,Outdoor,USA,"Palo Alto, CA",Untitled,24.7,761,1:12:55,139,170
Cycling,9/27/2014 6:08,Outdoor,USA,"Palo Alto, CA",Canary Challenge - Ericsson Sponsored Event,162.51,"5,551",9:36:16,141,175
Cycling,9/30/2014 18:38,Outdoor,USA,"Frisco, TX",Untitled,50.95,"1,329",1:44:42,151,180
Cycling,10/4/2014 6:38,Outdoor,USA,"Frisco, TX",Untitled,40.22,"1,056",1:44:26,130,179
Cycling,10/4/2014 9:34,Outdoor,USA,"Frisco, TX",Untitled,41.42,"1,125",2:26:11,127,166
Cycling,10/9/2014 18:34,Outdoor,USA,"Frisco, TX",Untitled,50.7,"1,702",1:42:06,157,187
Cycling,10/14/2014 18:34,Outdoor,USA,"Frisco, TX",Untitled,52.1,"2,873",1:38:07,148,180
Cycling,11/29/2014 13:58,Outdoor,USA,"Frisco, TX",Untitled,30.1,"1,006",1:11:12,155,184
